MA_DONG_XE,MA_LOAIXE,BIEN_SO_XE,MA_HD
VINFELI12,XCG2B.2,61-L767844,XCG_D0058349
VINFELI12,XCG2B.2,22-X138841,XCG_D0058350
VINFELI12,XCG2B.2,61-Y450142,XCG_D0058417
VINFELI12,XCG2B.2,53-U946260,XCG_D0059646
VINFELI12,XCG2B.2,25-X825767,XCG_D0059713
VINFELI12,XCG2B.2,84-D268426,XCG_D0061067
VINFELI12,XCG2B.2,61-Z319633,XCG_D0061105
VINFELI12,XCG2B.2,31-C555327,XCG_D0061122
VINFELI12,XCG2B.2,67-L607725,XCG_D0061153
VINFELI12,XCG2B.2,38-P462859,XCG_D0057333
VINFELI12,XCG2B.2,56-T655131,XCG_D0058651
VINFELI12,XCG2B.2,70-D932110,XCG_D0061193
VINFELI12,XCG2B.2,80-V840360,XCG_D0057363
VINFELI12,XCG2B.2,29-D642035,XCG_D0057415
VINFELI12,XCG2B.2,25-D514834,XCG_D0056288
VINFELI12,XCG2B.2,48-H984529,XCG_D0056291
VINFELI12,XCG2B.2,99-P333766,XCG_D0052250
VINFELI12,XCG2B.2,39-B494162,XCG_D0056381
VINFELI12,XCG2B.2,82-X992812,XCG_D0055205
VINFELI12,XCG2B.2,57-T618703,XCG_D0051155
VINFELI12,XCG2B.2,39-Y209403,XCG_D0052508
VINFELI12,XCG2B.2,54-Z666233,XCG_D0052602
VINFELI12,XCG2B.2,64-H528443,XCG_D0052632
VINFELI12,XCG2B.2,89-D755429,XCG_D0053906
VINFELI12,XCG2B.2,67-Y889363,XCG_D0053953
VINFELI12,XCG2B.2,54-F469859,XCG_D0053987
VINFELI12,XCG2B.2,79-N403539,XCG_D0051382
VINFELI12,XCG2B.2,36-C686885,XCG_D0052666
VINFELI12,XCG2B.2,72-D601507,XCG_D0052704
VINFELI12,XCG2B.2,73-U477408,XCG_D0055496
VINFELI12,XCG2B.2,63-E922521,XCG_D0051512
VINFELI12,XCG2B.2,19-U818416,XCG_D0052820
VINFELI12,XCG2B.2,68-M630624,XCG_D0052824
VINFELI12,XCG2B.2,35-G745094,XCG_D0052856
VINFELI12,XCG2B.2,99-Z195048,XCG_D0055596
VINFELI12,XCG2B.2,35-S922638,XCG_D0055614
VINFELI12,XCG2B.2,33-H266288,XCG_D0051569
VINFELI12,XCG2B.2,22-E423068,XCG_D0052902
VINFELI12,XCG2B.2,48-U456591,XCG_D0052981
VINFELI12,XCG2B.2,29-B413176,XCG_D0054254
VINFELI12,XCG2B.2,48-A467659,XCG_D0055740
VINFELI12,XCG2B.2,72-G424228,XCG_D0054396
VINFELI12,XCG2B.2,53-X431490,XCG_D0055789
VINFELI12,XCG2B.2,39-M307663,XCG_D0053140
VINFELI12,XCG2B.2,70-A567689,XCG_D0054482
VINFELI12,XCG2B.2,79-T136807,XCG_D0055913
VINFELI12,XCG2B.2,52-C787516,XCG_D0054518
VINFELI12,XCG2B.2,93-T650015,XCG_D0055953
VINFELI12,XCG2B.2,25-Z708886,XCG_D0054645
VINFELI12,XCG2B.2,85-N584770,XCG_D0053350
VINFELI12,XCG2B.2,93-H319949,XCG_D0062782
VINFELI12,XCG2B.2,63-E922521,XCG_D0064164
VINFELI12,XCG2B.2,33-H266288,XCG_D0064221
VINFELI12,XCG2B.2,74-F964240,XCG_D0062988
VINFELI12,XCG2B.2,49-P353371,XCG_D0061712
VINFELI12,XCG2B.2,83-N382703,XCG_D0063091
VINFELI12,XCG2B.2,29-X397650,XCG_D0061811
VINFELI12,XCG2B.2,53-T200822,XCG_D0061977
VINFELI12,XCG2B.2,38-Z214791,XCG_D0062051
VINFELI12,XCG2B.2,79-G857131,XCG_D0063380
VINFELI12,XCG2B.2,68-F860490,XCG_D0062121
VINFELI12,XCG2B.2,11-F772513,XCG_D0062268
VINFELI12,XCG2B.2,32-D512389,XCG_D0063571
VINFELI12,XCG2B.2,93-C184488,XCG_D0062271
VINFELI12,XCG2B.2,57-T618703,XCG_D0063807
VINFELI12,XCG2B.2,97-B898328,XCG_D0062657
VINFELI12,XCG2B.2,39-Z723290,XCG_D0062704
VINFELI12,XCG2B.2,38-A295038,XCG_D0062770
VINFELI12,XCG2B.2,79-N403539,XCG_D0064034
BENLEON08,XCG2B.2,32-N501292,XCG_D0049400
BENLEON08,XCG2B.2,36-B688529,XCG_D0046903
BENLEON08,XCG2B.2,64-B278959,XCG_D0046934
BENLEON08,XCG2B.2,30-M627348,XCG_D0048156
BENLEON08,XCG2B.2,97-D435495,XCG_D0047044
BENLEON08,XCG2B.2,92-F636421,XCG_D0048364
BENLEON08,XCG2B.2,38-U513700,XCG_D0049699
BENLEON08,XCG2B.2,65-F813680,XCG_D0049721
BENLEON08,XCG2B.2,57-M156898,XCG_D0045949
BENLEON08,XCG2B.2,59-Y261924,XCG_D0046032
BENLEON08,XCG2B.2,58-D938858,XCG_D0046037
BENLEON08,XCG2B.2,30-M259898,XCG_D0046053
BENLEON08,XCG2B.2,97-Z411554,XCG_D0047417
BENLEON08,XCG2B.2,55-A590368,XCG_D0048647
BENLEON08,XCG2B.2,77-C817856,XCG_D0048706
BENLEON08,XCG2B.2,12-P626560,XCG_D0046168
BENLEON08,XCG2B.2,98-P326325,XCG_D0047587
BENLEON08,XCG2B.2,31-M614317,XCG_D0046294
BENLEON08,XCG2B.2,85-Y358723,XCG_D0046302
BENLEON08,XCG2B.2,53-K661075,XCG_D0047638
BENLEON08,XCG2B.2,40-Z806917,XCG_D0050243
BENLEON08,XCG2B.2,17-E702080,XCG_D0050274
BENLEON08,XCG2B.2,70-L317856,XCG_D0050285
BENLEON08,XCG2B.2,15-C905061,XCG_D0050296
BENLEON08,XCG2B.2,47-M414128,XCG_D0046509
BENLEON08,XCG2B.2,68-A125402,XCG_D0047802
BENLEON08,XCG2B.2,65-T206287,XCG_D0050391
BENLEON08,XCG2B.2,80-P246657,XCG_D0050418
BENLEON08,XCG2B.2,19-Z751120,XCG_D0050452
BENLEON08,XCG2B.2,74-B607894,XCG_D0050530
BENLEON08,XCG2B.2,63-Y105624,XCG_D0046634
BENLEON08,XCG2B.2,60-Z462027,XCG_D0046661
BENLEON08,XCG2B.2,86-M922323,XCG_D0046694
BENLEON08,XCG2B.2,31-Z995280,XCG_D0048084
BENLEON08,XCG2B.2,72-H682227,XCG_D0050674
BENLEON08,XCG2B.2,79-P864793,XCG_D0046832
BENLEON08,XCG2B.2,43-B941741,XCG_D0045787
BENLEON08,XCG2B.2,48-Y816093,XCG_D0045905
BENLEON08,XCG2B.2,26-Y501104,XCG_D0045933
BENLEON08,XCG2B.2,20-U205738,XCG_D0045303
BENLEON08,XCG2B.2,75-E638229,XCG_D0045327
BENLEON08,XCG2B.2,83-C491242,XCG_D0045574
BENLEON08,XCG2B.2,58-L816552,XCG_D0045597
BENLEON08,XCG2B.2,20-U380276,XCG_D0045654
BENLEON08,XCG2B.2,31-M614317,XCG_D0061294
BENLEON08,XCG2B.2,85-Y358723,XCG_D0061302
BENLEON08,XCG2B.2,81-X272504,XCG_D0057486
BENLEON08,XCG2B.2,98-G290040,XCG_D0058761
BENLEON08,XCG2B.2,72-V144057,XCG_D0057569
BENLEON08,XCG2B.2,71-X176423,XCG_D0057573
BENLEON08,XCG2B.2,25-X670441,XCG_D0058803
BENLEON08,XCG2B.2,63-Y105624,XCG_D0061634
BENLEON08,XCG2B.2,60-Z462027,XCG_D0061661
BENLEON08,XCG2B.2,47-M414128,XCG_D0061509
BENLEON08,XCG2B.2,52-D976317,XCG_D0057683
BENLEON08,XCG2B.2,34-L792736,XCG_D0058980
BENLEON08,XCG2B.2,20-U205738,XCG_D0060303
BENLEON08,XCG2B.2,75-E638229,XCG_D0060327
BENLEON08,XCG2B.2,95-V599443,XCG_D0056557
BENLEON08,XCG2B.2,83-Y637430,XCG_D0056597
BENLEON08,XCG2B.2,54-H201465,XCG_D0056617
BENLEON08,XCG2B.2,83-C491242,XCG_D0060574
BENLEON08,XCG2B.2,86-B469855,XCG_D0059280
BENLEON08,XCG2B.2,58-L816552,XCG_D0060597
BENLEON08,XCG2B.2,20-U380276,XCG_D0060654
BENLEON08,XCG2B.2,94-S684148,XCG_D0059403
BENLEON08,XCG2B.2,43-B941741,XCG_D0060787
BENLEON08,XCG2B.2,43-U867359,XCG_D0058267
BENLEON08,XCG2B.2,48-Y816093,XCG_D0060905
BENLEON08,XCG2B.2,60-G142339,XCG_D0057027
BENLEON08,XCG2B.2,56-S801566,XCG_D0057048
BENLEON08,XCG2B.2,73-M346530,XCG_D0058362
BENLEON08,XCG2B.2,52-H855643,XCG_D0058404
BENLEON08,XCG2B.2,26-Y501104,XCG_D0060933
BENLEON08,XCG2B.2,57-M156898,XCG_D0060949
BENLEON08,XCG2B.2,22-T157323,XCG_D0057117
BENLEON08,XCG2B.2,81-Y958692,XCG_D0058429
BENLEON08,XCG2B.2,83-X105470,XCG_D0058432
BENLEON08,XCG2B.2,59-Y261924,XCG_D0061032
BENLEON08,XCG2B.2,58-D938858,XCG_D0061037
BENLEON08,XCG2B.2,30-M259898,XCG_D0061053
BENLEON08,XCG2B.2,25-V309724,XCG_D0057233
BENLEON08,XCG2B.2,12-P626560,XCG_D0061168
BENLEON08,XCG2B.2,82-D785871,XCG_D0057301
BENLEON08,XCG2B.2,33-E595519,XCG_D0056256
BENLEON08,XCG2B.2,60-X533675,XCG_D0052253
BENLEON08,XCG2B.2,94-L954317,XCG_D0052258
BENLEON08,XCG2B.2,99-D572187,XCG_D0052272
BENLEON08,XCG2B.2,80-P645568,XCG_D0053586
BENLEON08,XCG2B.2,89-H567400,XCG_D0056409
BENLEON08,XCG2B.2,58-K715244,XCG_D0055087
BENLEON08,XCG2B.2,97-F734948,XCG_D0055098
BENLEON08,XCG2B.2,54-M702148,XCG_D0056453
BENLEON08,XCG2B.2,84-E108362,XCG_D0052428
BENLEON08,XCG2B.2,32-Z911187,XCG_D0051219
BENLEON08,XCG2B.2,70-Y934788,XCG_D0052485
BENLEON08,XCG2B.2,38-P646167,XCG_D0052503
BENLEON08,XCG2B.2,20-P322629,XCG_D0055326
BENLEON08,XCG2B.2,79-X657942,XCG_D0053962
BENLEON08,XCG2B.2,39-K385702,XCG_D0055345
BENLEON08,XCG2B.2,81-E671688,XCG_D0051349
BENLEON08,XCG2B.2,71-G806311,XCG_D0052697
BENLEON08,XCG2B.2,89-T789706,XCG_D0052718
BENLEON08,XCG2B.2,83-Y996411,XCG_D0054052
BENLEON08,XCG2B.2,79-M311938,XCG_D0055436
BENLEON08,XCG2B.2,24-U478526,XCG_D0055475
BENLEON08,XCG2B.2,32-C507736,XCG_D0054120
BENLEON08,XCG2B.2,99-K591455,XCG_D0054152
BENLEON08,XCG2B.2,93-A355329,XCG_D0055579
BENLEON08,XCG2B.2,59-C793500,XCG_D0051526
BENLEON08,XCG2B.2,54-L970274,XCG_D0054170
BENLEON08,XCG2B.2,94-L684769,XCG_D0054225
BENLEON08,XCG2B.2,53-T703541,XCG_D0054227
BENLEON08,XCG2B.2,39-G479751,XCG_D0055592
BENLEON08,XCG2B.2,75-F865220,XCG_D0055728
BENLEON08,XCG2B.2,95-A329458,XCG_D0055735
BENLEON08,XCG2B.2,74-L387067,XCG_D0051687
BENLEON08,XCG2B.2,98-D205871,XCG_D0051710
BENLEON08,XCG2B.2,19-C644917,XCG_D0054351
BENLEON08,XCG2B.2,38-L739951,XCG_D0055791
BENLEON08,XCG2B.2,43-A676476,XCG_D0055817
BENLEON08,XCG2B.2,81-S156878,XCG_D0054408
BENLEON08,XCG2B.2,92-C345771,XCG_D0054409
BENLEON08,XCG2B.2,64-M149427,XCG_D0054410
BENLEON08,XCG2B.2,25-P678576,XCG_D0055900
BENLEON08,XCG2B.2,20-X973116,XCG_D0053181
BENLEON08,XCG2B.2,52-U184665,XCG_D0053206
BENLEON08,XCG2B.2,85-V888719,XCG_D0053225
BENLEON08,XCG2B.2,85-D388201,XCG_D0054542
BENLEON08,XCG2B.2,40-D570622,XCG_D0054547
BENLEON08,XCG2B.2,90-D737618,XCG_D0055984
BENLEON08,XCG2B.2,86-H587725,XCG_D0055990
BENLEON08,XCG2B.2,34-Y165861,XCG_D0054640
BENLEON08,XCG2B.2,54-V828761,XCG_D0052007
BENLEON08,XCG2B.2,59-C324370,XCG_D0052039
BENLEON08,XCG2B.2,49-P936333,XCG_D0053374
BENLEON08,XCG2B.2,43-N825658,XCG_D0054694
BENLEON08,XCG2B.2,38-F913428,XCG_D0054791
BENLEON08,XCG2B.2,15-G233681,XCG_D0054797
BENLEON08,XCG2B.2,94-M587700,XCG_D0056208
BENLEON08,XCG2B.2,59-C793500,XCG_D0064178
BENLEON08,XCG2B.2,40-Z806917,XCG_D0062895
BENLEON08,XCG2B.2,17-E702080,XCG_D0062926
BENLEON08,XCG2B.2,70-L317856,XCG_D0062937
BENLEON08,XCG2B.2,15-C905061,XCG_D0062948
BENLEON08,XCG2B.2,74-L387067,XCG_D0064339
BENLEON08,XCG2B.2,98-D205871,XCG_D0064362
BENLEON08,XCG2B.2,86-M922323,XCG_D0061694
BENLEON08,XCG2B.2,65-T206287,XCG_D0063043
BENLEON08,XCG2B.2,80-P246657,XCG_D0063070
BENLEON08,XCG2B.2,19-Z751120,XCG_D0063104
BENLEON08,XCG2B.2,79-P864793,XCG_D0061832
BENLEON08,XCG2B.2,74-B607894,XCG_D0063182
BENLEON08,XCG2B.2,36-B688529,XCG_D0061903
BENLEON08,XCG2B.2,64-B278959,XCG_D0061934
BENLEON08,XCG2B.2,72-H682227,XCG_D0063326
BENLEON08,XCG2B.2,97-D435495,XCG_D0062044
BENLEON08,XCG2B.2,38-U513700,XCG_D0062351
BENLEON08,XCG2B.2,65-F813680,XCG_D0062373
BENLEON08,XCG2B.2,32-Z911187,XCG_D0063871
BENLEON08,XCG2B.2,81-E671688,XCG_D0064001
APRRSV415,XCG2B.2,72-V355747,XCG_D0049415
APRRSV415,XCG2B.2,47-S761862,XCG_D0050753
APRRSV415,XCG2B.2,32-C382997,XCG_D0048176
APRRSV415,XCG2B.2,67-E782578,XCG_D0049486
APRRSV415,XCG2B.2,43-A789220,XCG_D0046997
APRRSV415,XCG2B.2,26-K550025,XCG_D0047109
APRRSV415,XCG2B.2,71-Y599554,XCG_D0048338
APRRSV415,XCG2B.2,50-D994531,XCG_D0049705
APRRSV415,XCG2B.2,63-Y863188,XCG_D0050891
APRRSV415,XCG2B.2,15-G616913,XCG_D0050943
APRRSV415,XCG2B.2,48-E966964,XCG_D0047142
APRRSV415,XCG2B.2,97-M386732,XCG_D0047175
APRRSV415,XCG2B.2,62-F977756,XCG_D0048432
APRRSV415,XCG2B.2,49-S918873,XCG_D0049766
APRRSV415,XCG2B.2,66-T612887,XCG_D0047246
APRRSV415,XCG2B.2,99-S540834,XCG_D0048489
APRRSV415,XCG2B.2,77-U670779,XCG_D0048508
APRRSV415,XCG2B.2,70-L470189,XCG_D0048533
APRRSV415,XCG2B.2,12-G268767,XCG_D0047313
APRRSV415,XCG2B.2,67-P335547,XCG_D0047363
APRRSV415,XCG2B.2,62-K618917,XCG_D0046044
APRRSV415,XCG2B.2,68-F298643,XCG_D0046112
APRRSV415,XCG2B.2,71-G388554,XCG_D0047404
APRRSV415,XCG2B.2,35-K107924,XCG_D0047405
APRRSV415,XCG2B.2,59-P255521,XCG_D0047427
APRRSV415,XCG2B.2,51-T327624,XCG_D0048630
APRRSV415,XCG2B.2,11-T487226,XCG_D0047500
APRRSV415,XCG2B.2,90-P484077,XCG_D0047502
APRRSV415,XCG2B.2,61-V631145,XCG_D0048745
APRRSV415,XCG2B.2,63-C334755,XCG_D0048795
APRRSV415,XCG2B.2,94-B443271,XCG_D0050166
APRRSV415,XCG2B.2,20-A611192,XCG_D0050204
APRRSV415,XCG2B.2,71-Y567121,XCG_D0046306
APRRSV415,XCG2B.2,48-N420144,XCG_D0047667
APRRSV415,XCG2B.2,70-C891351,XCG_D0050228
APRRSV415,XCG2B.2,77-H910138,XCG_D0046405
APRRSV415,XCG2B.2,68-Y903203,XCG_D0046530
APRRSV415,XCG2B.2,38-G450480,XCG_D0049055
APRRSV415,XCG2B.2,80-G309048,XCG_D0046575
APRRSV415,XCG2B.2,82-G652360,XCG_D0049168
APRRSV415,XCG2B.2,25-G250313,XCG_D0049177
APRRSV415,XCG2B.2,37-C287960,XCG_D0050496
APRRSV415,XCG2B.2,54-D886135,XCG_D0046700
APRRSV415,XCG2B.2,99-Y923017,XCG_D0048041
APRRSV415,XCG2B.2,51-K477579,XCG_D0049334
APRRSV415,XCG2B.2,24-F613775,XCG_D0050701
APRRSV415,XCG2B.2,51-B565846,XCG_D0045767
APRRSV415,XCG2B.2,74-Y819249,XCG_D0045777
APRRSV415,XCG2B.2,25-L590702,XCG_D0045798
APRRSV415,XCG2B.2,34-E107130,XCG_D0045936
APRRSV415,XCG2B.2,32-L214717,XCG_D0045412
APRRSV415,XCG2B.2,83-D875049,XCG_D0045456
APRRSV415,XCG2B.2,62-S376834,XCG_D0045492
APRRSV415,XCG2B.2,86-T908782,XCG_D0045665
APRRSV415,XCG2B.2,71-Y567121,XCG_D0061306
APRRSV415,XCG2B.2,57-N738502,XCG_D0057441
APRRSV415,XCG2B.2,33-U379716,XCG_D0057444
APRRSV415,XCG2B.2,20-T494409,XCG_D0057458
APRRSV415,XCG2B.2,66-Y577455,XCG_D0058709
APRRSV415,XCG2B.2,77-H910138,XCG_D0061405
APRRSV415,XCG2B.2,52-B292543,XCG_D0058777
APRRSV415,XCG2B.2,71-P165040,XCG_D0058827
APRRSV415,XCG2B.2,81-S909702,XCG_D0057605
APRRSV415,XCG2B.2,83-U343879,XCG_D0059012
APRRSV415,XCG2B.2,68-Y903203,XCG_D0061530
APRRSV415,XCG2B.2,80-G309048,XCG_D0061575
APRRSV415,XCG2B.2,32-L214717,XCG_D0060412
APRRSV415,XCG2B.2,12-Y342783,XCG_D0059160
APRRSV415,XCG2B.2,83-D875049,XCG_D0060456
APRRSV415,XCG2B.2,62-S376834,XCG_D0060492
APRRSV415,XCG2B.2,92-A694393,XCG_D0056646
APRRSV415,XCG2B.2,29-X503004,XCG_D0057939
APRRSV415,XCG2B.2,59-H174250,XCG_D0057959
APRRSV415,XCG2B.2,50-S221039,XCG_D0059225
APRRSV415,XCG2B.2,92-B893873,XCG_D0058030
APRRSV415,XCG2B.2,24-E858125,XCG_D0058089
APRRSV415,XCG2B.2,48-X558648,XCG_D0059336
APRRSV415,XCG2B.2,86-T908782,XCG_D0060665
APRRSV415,XCG2B.2,11-C389776,XCG_D0056772
APRRSV415,XCG2B.2,61-Z665270,XCG_D0058134
APRRSV415,XCG2B.2,47-X168761,XCG_D0059375
APRRSV415,XCG2B.2,38-P120088,XCG_D0056845
APRRSV415,XCG2B.2,92-G144997,XCG_D0059489
APRRSV415,XCG2B.2,51-B565846,XCG_D0060767
APRRSV415,XCG2B.2,74-Y819249,XCG_D0060777
APRRSV415,XCG2B.2,25-L590702,XCG_D0060798
APRRSV415,XCG2B.2,79-Y420886,XCG_D0058305
APRRSV415,XCG2B.2,68-P757293,XCG_D0059539
APRRSV415,XCG2B.2,30-F675739,XCG_D0058389
APRRSV415,XCG2B.2,24-S268847,XCG_D0059623
APRRSV415,XCG2B.2,34-E107130,XCG_D0060936
APRRSV415,XCG2B.2,52-G184883,XCG_D0059723
APRRSV415,XCG2B.2,62-K618917,XCG_D0061044
APRRSV415,XCG2B.2,68-F298643,XCG_D0061112
APRRSV415,XCG2B.2,92-L241932,XCG_D0057349
APRRSV415,XCG2B.2,31-N633640,XCG_D0057399
APRRSV415,XCG2B.2,31-Y909750,XCG_D0057411
APRRSV415,XCG2B.2,30-A756463,XCG_D0057421
APRRSV415,XCG2B.2,12-C935386,XCG_D0056268
APRRSV415,XCG2B.2,35-T986677,XCG_D0052263
APRRSV415,XCG2B.2,52-H339607,XCG_D0053583
APRRSV415,XCG2B.2,55-S228393,XCG_D0055011
APRRSV415,XCG2B.2,17-Y546596,XCG_D0055017
APRRSV415,XCG2B.2,50-M341932,XCG_D0055047
APRRSV415,XCG2B.2,93-C831231,XCG_D0056337
APRRSV415,XCG2B.2,43-H579811,XCG_D0056349
APRRSV415,XCG2B.2,85-U807221,XCG_D0052327
APRRSV415,XCG2B.2,60-P566191,XCG_D0053680
APRRSV415,XCG2B.2,36-Y465845,XCG_D0055114
APRRSV415,XCG2B.2,49-C150105,XCG_D0052451
APRRSV415,XCG2B.2,26-B307614,XCG_D0053763
APRRSV415,XCG2B.2,43-T760193,XCG_D0051206
APRRSV415,XCG2B.2,72-P124879,XCG_D0052507
APRRSV415,XCG2B.2,89-V216260,XCG_D0055281
APRRSV415,XCG2B.2,63-H669676,XCG_D0055327
APRRSV415,XCG2B.2,93-X660038,XCG_D0051299
APRRSV415,XCG2B.2,48-C703920,XCG_D0053960
APRRSV415,XCG2B.2,35-U155505,XCG_D0052659
APRRSV415,XCG2B.2,79-L900009,XCG_D0052668
APRRSV415,XCG2B.2,20-T724427,XCG_D0052799
APRRSV415,XCG2B.2,89-H291386,XCG_D0055521
APRRSV415,XCG2B.2,55-T863528,XCG_D0055546
APRRSV415,XCG2B.2,33-G732978,XCG_D0051504
APRRSV415,XCG2B.2,68-H942441,XCG_D0055609
APRRSV415,XCG2B.2,29-G304256,XCG_D0054278
APRRSV415,XCG2B.2,88-B155531,XCG_D0051712
APRRSV415,XCG2B.2,75-M251481,XCG_D0053009
APRRSV415,XCG2B.2,94-D351662,XCG_D0055762
APRRSV415,XCG2B.2,86-T470244,XCG_D0054445
APRRSV415,XCG2B.2,74-X535952,XCG_D0051823
APRRSV415,XCG2B.2,39-G337889,XCG_D0055935
APRRSV415,XCG2B.2,47-A213480,XCG_D0051929
APRRSV415,XCG2B.2,38-V812005,XCG_D0053284
APRRSV415,XCG2B.2,75-H686945,XCG_D0054614
APRRSV415,XCG2B.2,71-S535005,XCG_D0052057
APRRSV415,XCG2B.2,81-B425266,XCG_D0054715
APRRSV415,XCG2B.2,84-H448313,XCG_D0056109
APRRSV415,XCG2B.2,55-B736581,XCG_D0056125
APRRSV415,XCG2B.2,50-F173061,XCG_D0056158
APRRSV415,XCG2B.2,12-K702143,XCG_D0053433
APRRSV415,XCG2B.2,51-Z532263,XCG_D0054748
APRRSV415,XCG2B.2,17-Y997355,XCG_D0056198
APRRSV415,XCG2B.2,62-C238330,XCG_D0053523
APRRSV415,XCG2B.2,20-L657188,XCG_D0053542
APRRSV415,XCG2B.2,94-B443271,XCG_D0062818
APRRSV415,XCG2B.2,20-A611192,XCG_D0062856
APRRSV415,XCG2B.2,33-G732978,XCG_D0064156
APRRSV415,XCG2B.2,70-C891351,XCG_D0062880
APRRSV415,XCG2B.2,88-B155531,XCG_D0064364
APRRSV415,XCG2B.2,54-D886135,XCG_D0061700
APRRSV415,XCG2B.2,37-C287960,XCG_D0063148
APRRSV415,XCG2B.2,74-X535952,XCG_D0064475
APRRSV415,XCG2B.2,43-A789220,XCG_D0061997
APRRSV415,XCG2B.2,24-F613775,XCG_D0063353
APRRSV415,XCG2B.2,47-S761862,XCG_D0063405
APRRSV415,XCG2B.2,26-K550025,XCG_D0062109
APRRSV415,XCG2B.2,48-E966964,XCG_D0062142
