MA_KH,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,Segment,TUOI,GIOI_TINH,NGHENGHIEP,XHKH,Age_Group,VIP_Tier
KH029213,26,2,196000000.0,5,4,5,545,14,Champions,28,Nam,Giáo viên,Đồng,26-35,Platinum
KH031038,176,2,196000000.0,4,4,5,445,13,Champions,38,Nam,Cửa hàng bán lẻ,Vàng,36-45,Gold
KH030247,60,2,196000000.0,5,4,5,545,14,Champions,54,Nữ,Quản lý sản xuất,Kim cương,46-55,Platinum
KH024919,289,2,196000000.0,3,4,5,345,12,Potential Loyalists,41,Nam,Bác sĩ,Vàng,36-45,Gold
KH025258,259,2,196000000.0,3,4,5,345,12,Potential Loyalists,29,Nam,Công nhân,Đồng,26-35,Gold
KH036801,501,2,196000000.0,2,4,5,245,11,At Risk,39,Nam,Kỹ sư,Vàng,36-45,Gold
KH027405,163,2,196000000.0,4,4,5,445,13,Champions,44,Nam,Kỹ sư,Vàng,36-45,Gold
KH031603,26,2,196000000.0,5,4,5,545,14,Champions,56,Nam,Công nhân,Đồng,55+,Platinum
KH036671,14,2,196000000.0,5,4,5,545,14,Champions,25,Nam,Cửa hàng bán lẻ,Bạc,18-25,Platinum
KH031925,342,2,196000000.0,3,4,5,345,12,Potential Loyalists,38,Nữ,CEO,Bạch kim,36-45,Gold
KH029665,184,2,196000000.0,4,4,5,445,13,Champions,44,Nam,Công nhân,Bạc,36-45,Gold
KH028213,169,2,196000000.0,4,4,5,445,13,Champions,24,Nam,Công nhân,Đồng,18-25,Gold
KH033863,247,2,196000000.0,3,4,5,345,12,Potential Loyalists,24,Nam,CEO,Bạch kim,18-25,Gold
KH036123,119,2,196000000.0,4,4,5,445,13,Champions,42,Nam,Quản lý sản xuất,Kim cương,36-45,Gold
KH033620,144,2,196000000.0,4,4,5,445,13,Champions,36,Nữ,Kỹ sư,Bạc,36-45,Gold
KH025542,169,3,193200000.0,4,5,5,455,14,Champions,32,Nam,Kỹ sư,Bạc,26-35,Platinum
KH031315,73,3,193200000.0,5,5,5,555,15,Champions,56,Nữ,Kỹ sư,Vàng,55+,Platinum
KH027915,168,3,193200000.0,4,5,5,455,14,Champions,40,Nam,Kinh doanh tự do,Vàng,36-45,Platinum
KH028942,6,3,193200000.0,5,5,5,555,15,Champions,37,Nữ,Giáo viên,Đồng,36-45,Platinum
KH037112,37,3,193200000.0,5,5,5,555,15,Champions,26,Nam,Cửa hàng bán lẻ,Vàng,26-35,Platinum
KH030671,96,3,193200000.0,5,5,5,555,15,Champions,38,Nữ,CEO,Bạch kim,36-45,Platinum
KH024293,44,3,189000000.0,5,5,5,555,15,Champions,41,Nam,Nhân viên văn phòng,Bạc,36-45,Platinum
KH028416,42,2,177000000.0,5,4,5,545,14,Champions,31,Nữ,Giáo viên,Đồng,26-35,Platinum
KH033388,29,2,177000000.0,5,4,5,545,14,Champions,37,Nam,Công nhân,Đồng,36-45,Platinum
KH036213,197,2,177000000.0,4,4,5,445,13,Champions,53,Nữ,Giáo viên,Đồng,46-55,Gold
KH036778,220,2,177000000.0,4,4,5,445,13,Champions,42,Nam,Công nhân,Bạc,36-45,Gold
KH031580,232,2,177000000.0,4,4,5,445,13,Champions,55,Nam,Nhân viên văn phòng,Bạc,46-55,Gold
KH030676,325,2,177000000.0,3,4,5,345,12,Potential Loyalists,31,Nam,Công nhân,Đồng,26-35,Gold
KH035535,283,2,177000000.0,3,4,5,345,12,Potential Loyalists,34,Nam,Giáo viên,Đồng,26-35,Gold
KH028190,121,2,177000000.0,4,4,5,445,13,Champions,40,Nam,Cửa hàng bán lẻ,Vàng,36-45,Gold
KH028868,366,2,177000000.0,3,4,5,345,12,Potential Loyalists,48,Nữ,Giáo viên,Bạc,46-55,Gold
KH029945,135,3,175500000.0,4,5,5,455,14,Champions,24,Nam,CEO,Bạch kim,18-25,Platinum
KH035595,144,3,175500000.0,4,5,5,455,14,Champions,37,Nam,Kinh doanh tự do,Vàng,36-45,Platinum
KH033501,300,2,165200000.0,3,4,5,345,12,Potential Loyalists,27,Nam,Công nhân,Đồng,26-35,Gold
KH033840,69,2,165200000.0,5,4,5,545,14,Champions,45,Nữ,Quản lý sản xuất,Kim cương,36-45,Platinum
KH035422,263,2,165200000.0,3,4,5,345,12,Potential Loyalists,29,Nam,Kỹ sư,Vàng,26-35,Gold
KH033727,47,2,165200000.0,5,4,5,545,14,Champions,44,Nam,Kinh doanh tự do,Đồng,36-45,Platinum
KH032032,148,2,165200000.0,4,4,5,445,13,Champions,49,Nữ,Cửa hàng bán lẻ,Bạc,46-55,Gold
KH025591,62,2,165200000.0,5,4,5,545,14,Champions,38,Nữ,CEO,Bạch kim,36-45,Platinum
KH036326,50,2,165200000.0,5,4,5,545,14,Champions,57,Nam,Giáo viên,Bạc,55+,Platinum
KH027738,35,2,165200000.0,5,4,5,545,14,Champions,34,Nam,Công nhân,Đồng,26-35,Platinum
